id_subsistema;nom_subsistema;id_estado;nom_estado;nom_agente_principal;id_subestacao;nom_subestacao;val_niveltensao;id_estacao;num_barra;val_latitude;val_longitude
NE;Nordeste;AL;Alagoas;CHESF;ALMCO;MACEIO;69.0;ALMCO-0F;91443;-9.5788;-35.7856
NE;Nordeste;AL;Alagoas;CHESF;ALMCO;MACEIO;69.0;ALMCO-0A;90160;-9.5788;-35.7856
NE;Nordeste;AL;Alagoas;CHESF;ALMCO;MACEIO;69.0;ALMCO-0G;91444;-9.5788;-35.7856
NE;Nordeste;AL;Alagoas;CHESF;ALMCO;MACEIO;230.0;ALMCO-2A;5311;-9.5788;-35.7856
NE;Nordeste;AL;Alagoas;CHESF;ALMCD;MACEIO II;69.0;ALMCD-0A;5314;-9.5286;-35.7502
NE;Nordeste;AL;Alagoas;CHESF;ALMCD;MACEIO II;230.0;ALMCD-2A;5312;-9.5286;-35.7502
NE;Nordeste;AL;Alagoas;CHESF;ALMSI;MESSIAS;230.0;ALMSI-2A;5301;-9.4027;-35.8421
NE;Nordeste;AL;Alagoas;CHESF;ALMSI;MESSIAS;500.0;ALMSI-5A;5300;-9.4027;-35.8421
NE;Nordeste;AL;Alagoas;CHESF;ALPEN;PENEDO;69.0;ALPEN-0A;5293;-10.2430;-36.5629
NE;Nordeste;AL;Alagoas;CHESF;ALPEN;PENEDO;230.0;ALPEN-2A;5291;-10.2430;-36.5629
NE;Nordeste;AL;Alagoas;CHESF;ALRLD;RIO LARGO II;69.0;ALRLD-0A;5113;-9.5039;-35.8380
NE;Nordeste;AL;Alagoas;CHESF;ALRLD;RIO LARGO II;230.0;ALRLD-2A;5111;-9.5039;-35.8380
NE;Nordeste;AL;Alagoas;BRE 3;ALSTII;SANTANA II;69.0;ALSTII0A;5733;-9.3652;-37.2787
NE;Nordeste;AL;Alagoas;BRE 3;ALSTII;SANTANA II;230.0;ALSTII2A;5732;-9.3652;-37.2787
NE;Nordeste;AL;Alagoas;CHESF;ALUXG;USINA XINGO;500.0;ALUXG-5A;5060;-9.6248;-37.7974
NE;Nordeste;AL;Alagoas;CHESF;BAZBU;ZEBU;69.0;ALZBU-0C;6265;-9.3558;-38.2028
NE;Nordeste;AL;Alagoas;CHESF;BAZBU;ZEBU;230.0;BAZBU-2A;6262;-9.3558;-38.2028
NE;Nordeste;BA;Bahia;CHESF;BAABX;ABAIXADORA;69.0;BAABX-0A;6203;-9.3958;-38.2007
NE;Nordeste;BA;Bahia;CHESF;BAABX;ABAIXADORA;230.0;BAABX-2A;44106;-9.3958;-38.2007
NE;Nordeste;BA;Bahia;BRE 2;BAALG;ALAGOINHAS II;69.0;BAALG-0A;5796;-12.0609;-38.3945
NE;Nordeste;BA;Bahia;BRE 2;BAALG;ALAGOINHAS II;230.0;BAALG-2A;6000;-12.0609;-38.3945
NE;Nordeste;BA;Bahia;CHESF;BAUAS;APOLONIO SALES;230.0;BAUAS-2B;5028;-9.3578;-38.2074
